instruction,input,output,text
Give me recipe for Butter Chicken,,,"Below is an instruction that describes a task.
### Instruction:
Give me recipe for Butter Chicken

### Response:
Ingredients:

500g chicken, cut into pieces
1 cup yogurt
1 tablespoon ginger-garlic paste
1 teaspoon red chili powder
1/2 teaspoon turmeric powder
Salt to taste
For the Curry:

2 tablespoons butter
1 tablespoon oil
1 cup onion, finely chopped
1 tablespoon ginger-garlic paste
1 cup tomato puree
1 teaspoon red chili powder
1 teaspoon garam masala
1 teaspoon coriander powder
1/2 teaspoon cumin powder
Salt to taste
1 cup cream
Fresh coriander leaves for garnish
Instructions:

Marinate the chicken in yogurt, ginger-garlic paste, red chili powder, turmeric powder, and salt for at least 1 hour.
Heat butter and oil in a pan, sauté onions until golden brown.
Add ginger-garlic paste and cook until the raw smell disappears.
Add tomato puree, red chili powder, garam masala, coriander powder, cumin powder, and salt. Cook until the oil separates.
Add marinated chicken and cook until it's done.
Stir in cream and garnish with fresh coriander leaves.
Serve hot with naan or rice."
Give me recipe for Palak Paneer,,,"Below is an instruction that describes a task.
### Instruction:
Give me recipe for Palak Paneer

### Response:
Ingredients:

400g paneer, cubed
4 cups spinach, blanched and pureed
1 cup tomatoes, finely chopped
1 cup onions, finely chopped
1 tablespoon ginger-garlic paste
1 green chili, finely chopped
1 teaspoon cumin seeds
1 teaspoon garam masala
1/2 teaspoon turmeric powder
Salt to taste
2 tablespoons oil
2 tablespoons butter
Instructions:

Heat oil and butter in a pan, add cumin seeds, and let them splutter.
Add onions, ginger-garlic paste, and green chili. Sauté until onions are golden brown.
Add tomatoes, turmeric powder, and salt. Cook until the tomatoes are soft.
Add spinach puree and cook for 5-7 minutes.
Add garam masala and paneer cubes. Simmer for another 5 minutes.
Serve hot with roti or rice."
Give me recipe for Jalebi,,,"Below is an instruction that describes a task.
### Instruction:
Give me recipe for Jalebi

### Response:
Ingredients:

2 cups all-purpose flour
1 cup yogurt
1/2 teaspoon baking soda
1 cup water
1 pinch saffron strands
Oil for frying
For Sugar Syrup:

2 cups sugar
1 cup water
1/2 teaspoon cardamom powder
Instructions:

Mix flour, yogurt, baking soda, and water to make a smooth batter. Allow it to ferment for 8 hours or overnight.
Prepare sugar syrup by dissolving sugar in water. Add saffron strands and cardamom powder. Boil until it reaches a sticky consistency.
Heat oil in a pan. Pour the batter into a jalebi dispenser and make circular shapes in the hot oil.
Fry until golden brown, then dip in sugar syrup for a few seconds.
Serve hot and enjoy the sweet and tangy Jalebi!"
Give me recipe for Chicken Tikka,,,"Below is an instruction that describes a task.
### Instruction:
Give me recipe for Chicken Tikka

### Response:
Ingredients:

500g boneless chicken, cut into cubes
1 cup yogurt
2 tablespoons ginger-garlic paste
1 teaspoon red chili powder
1 teaspoon turmeric powder
1 teaspoon garam masala
Salt to taste
For Grilling:

2 tablespoons oil
Skewers
Instructions:

Marinate chicken in yogurt, ginger-garlic paste, red chili powder, turmeric powder, garam masala, and salt. Refrigerate for at least 2 hours.
Thread marinated chicken onto skewers.
Preheat grill or oven to medium-high heat. Brush with oil.
Grill chicken skewers for 15-20 minutes, turning occasionally, until fully cooked.
Serve hot with mint chutney and lemon wedges."
Give me recipe for Chicken Korma,,,"Below is an instruction that describes a task.
### Instruction:
Give me recipe for Chicken Korma

### Response:
Ingredients:

600g chicken, cut into pieces
1 cup yogurt
1 tablespoon ginger-garlic paste
1 cup onions, finely chopped
1 cup tomatoes, pureed
1/2 cup cashew nuts, soaked
1 teaspoon red chili powder
1 teaspoon garam masala
1 teaspoon coriander powder
1/2 teaspoon turmeric powder
Salt to taste
2 tablespoons oil
2 tablespoons ghee
Fresh coriander leaves for garnish
Instructions:

Marinate chicken in yogurt, ginger-garlic paste, red chili powder, and salt. Set aside for 30 minutes.
Grind soaked cashew nuts into a smooth paste.
In a pan, heat oil and ghee. Sauté onions until golden brown.
Add tomato puree, cashew paste, and spices. Cook until the oil separates.
Add marinated chicken and cook until done.
Garnish with fresh coriander leaves and serve hot."
Give me recipe for Aloo Gobi,,,"Below is an instruction that describes a task.
### Instruction:
Give me recipe for Aloo Gobi

### Response:
Ingredients:

2 cups cauliflower florets
2 cups potatoes, cubed
1 cup onions, finely chopped
1 cup tomatoes, chopped
1 tablespoon ginger-garlic paste
1 teaspoon cumin seeds
1 teaspoon turmeric powder
1 teaspoon red chili powder
1 teaspoon garam masala
Salt to taste
2 tablespoons oil
Fresh coriander leaves for garnish
Instructions:

Heat oil in a pan, add cumin seeds, and let them splutter.
Add onions, ginger-garlic paste, and sauté until golden brown.
Add tomatoes, turmeric powder, red chili powder, and salt. Cook until tomatoes are soft.
Add cauliflower florets and potatoes. Mix well.
Cover and cook until vegetables are tender.
Sprinkle garam masala and garnish with fresh coriander leaves.
Serve hot with roti or rice."
Give me recipe for Chana Masala,,,"Below is an instruction that describes a task.
### Instruction:
Give me recipe for Chana Masala

### Response:
Ingredients:

2 cups chickpeas, boiled
1 cup onions, finely chopped
1 cup tomatoes, pureed
1 tablespoon ginger-garlic paste
1 teaspoon cumin seeds
1 teaspoon coriander powder
1 teaspoon garam masala
1 teaspoon red chili powder
1/2 teaspoon turmeric powder
Salt to taste
2 tablespoons oil
Fresh coriander leaves for garnish
Instructions:

Heat oil in a pan, add cumin seeds, and let them splutter.
Add onions, ginger-garlic paste, and sauté until golden brown.
Add tomato puree, coriander powder, red chili powder, turmeric powder, and salt. Cook until the oil separates.
Add boiled chickpeas and garam masala. Cook for 10-15 minutes.
Garnish with fresh coriander leaves and serve hot."
Give me recipe for Chicken Biryani,,,"Below is an instruction that describes a task.
### Instruction:
Give me recipe for Chicken Biryani

### Response:
Ingredients:

500g basmati rice
500g chicken, cut into pieces
1 cup yogurt
1 cup onions, thinly sliced
1 cup tomatoes, chopped
1/2 cup mint leaves
1/2 cup coriander leaves
1 tablespoon ginger-garlic paste
1 teaspoon red chili powder
1 teaspoon garam masala
1/2 teaspoon turmeric powder
4 cups water
4 tablespoons ghee
2 tablespoons oil
Salt to taste
Instructions:

Soak rice in water for 30 minutes, then drain.
Marinate chicken in yogurt, ginger-garlic paste, red chili powder, garam masala, and salt for at least 1 hour.
In a pan, heat ghee and oil. Sauté onions until golden brown.
Add tomatoes, mint, and coriander leaves. Cook until tomatoes are soft.
Add marinated chicken and cook until it's almost done.
In a separate pot, boil 4 cups of water. Add soaked and drained rice, salt, and cook until 70% done.
Layer half-cooked rice over the chicken in the pan. Sprinkle garam masala.
Cover and cook on low heat for 15-20 minutes.
Serve hot with raita."
Give me recipe for Shahi Paneer,,,"Below is an instruction that describes a task.
### Instruction:
Give me recipe for Shahi Paneer

### Response:
Ingredients:

400g paneer, cubed
1 cup onions, finely chopped
1 cup tomatoes, pureed
1/2 cup cashew nuts, soaked
1/4 cup melon seeds, soaked
1 tablespoon ginger-garlic paste
1 teaspoon red chili powder
1 teaspoon garam masala
1 teaspoon coriander powder
1/2 teaspoon turmeric powder
1/2 cup cream
2 tablespoons ghee
2 tablespoons oil
Salt to taste
Fresh coriander leaves for garnish
Instructions:

Grind soaked cashew nuts and melon seeds into a smooth paste.
In a pan, heat ghee and oil. Sauté onions until golden brown.
Add ginger-garlic paste and cook until the raw smell disappears.
Add tomato puree, red chili powder, garam masala, coriander powder, turmeric powder, and salt. Cook until the oil separates.
Add ground paste and cook for 5 minutes.
Add paneer cubes and cream. Simmer for another 5 minutes.
Garnish with fresh coriander leaves.
Serve hot with naan or rice."
Give me recipe for Mutton Rogan Josh,,,"Below is an instruction that describes a task.
### Instruction:
Give me recipe for Mutton Rogan Josh

### Response:
Ingredients:

500g mutton, cut into pieces
1 cup onions, finely chopped
1 cup tomatoes, pureed
1/2 cup yogurt
1 tablespoon ginger-garlic paste
1 teaspoon red chili powder
1 teaspoon garam masala
1 teaspoon coriander powder
1/2 teaspoon turmeric powder
2 teaspoons fennel seeds
2 teaspoons cumin seeds
4 tablespoons oil
Salt to taste
Fresh coriander leaves for garnish
Instructions:

In a pan, dry roast fennel seeds and cumin seeds. Grind into a fine powder.
In a pressure cooker, heat oil. Sauté onions until golden brown.
Add ginger-garlic paste and cook until the raw smell disappears.
Add mutton pieces, red chili powder, garam masala, coriander powder, turmeric powder, and salt. Cook until mutton is browned.
Add tomato puree, yogurt, and the ground powder. Cook for 5 minutes.
Add water and pressure cook until mutton is tender.
Garnish with fresh coriander leaves.
Serve hot with steamed rice or naan."
