Recipe,Total Time,Ingridents,Method
Noodles Masala Mixture,20 mins,"Ingredients used in Noodles Masala Mixture
                                            
                                                                                                                                    
                                                • Oil -  as required.
                                            
                                                                                                                                    
                                                • Turmeric powder - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Salt -  to taste.
                                            
                                                                                                                                    
                                                • Peanuts - half cup.
                                            
                                                                                                                                    
                                                • Cashewnuts - half cup.
                                            
                                                                                                                                    
                                                • Raisins - half cup.
                                            
                                                                                                                                    
                                                • Corn flakes - 1 ½ cups.
                                            
                                                                                                                                    
                                                • Poha - half cup.
                                            
                                                                                                                                    
                                                • Curry leaves - 3 springs.
                                            
                                                                                                                                    
                                                • Red chili powder - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Noodles - 2 cups.
                                            
                                                                                                                                    
                                                • Sugar - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Garam masala powder - 1 tea spoon.","Deep fry noodles coated with salt and turmeric powder.
Now, fry peanuts in a pan and transfer to a plate.
Similarly fry cashew nuts, raisins, corn flakes and transfer to the same plate.
At last, deep fry beaten rice (poha) and curry leaves .
Now take all the deep fried ingredients in a bowl, add red chili powder, sugar, garam masala powder and mix well .

Noodles Masala Mixture is now ready to serve.


                                                
                                                    
                                        
                                    
                                    
                                                                                
                                        
                                        
                                        
                                        (adsbygoogle = window.adsbygoogle || []).push({});",latest-recipes
Kalakand Indian Sweet Recipe,60 mins,"Ingredients used in Kalakand Indian Sweet Recipe
                                            
                                                                                                                                    
                                                • Milk - 1 litres.
                                            
                                                                                                                                    
                                                • Vinegar - 2 teaspoons.
                                            
                                                                                                                                    
                                                • Sugar - 100 grams.
                                            
                                                                                                                                    
                                                • Figs - 50 grams.","Pour milk into a heavy bottom pan and bring it to a boil and reduce the flame. After a short while, it turns into thick. Then add 2 tsp of vinegar drop by drop and curdle the milk slowly. 
 Do not overcook it and add chopped soaked figs & mix it. The mixture has to be moist and juicy but not dry. 
 Now add sugar, stir and mix well. Cook it on a medium flame, stir constantly to prevent burns at bottom. 
 Take butter & grease it to a tray & transfer the kalakand mixture spread it to ¾ inch thickness. 
 Cool the kalakand for at least 15 minutes. 
Cut to desired shapes.




                                                
                                                    
                                        
                                    
                                    
                                                                                
                                        
                                        
                                        
                                        (adsbygoogle = window.adsbygoogle || []).push({});",latest-recipes
Rice Sev Tomato Pulao,20 mins,"Ingredients used in Rice Sev Tomato Pulao
                                            
                                                                                                                                    
                                                • Hot water -  as required.
                                            
                                                                                                                                    
                                                • Salt -  to taste.
                                            
                                                                                                                                    
                                                • Oil -  as required.
                                            
                                                                                                                                    
                                                • Rice sev - 2 cups.
                                            
                                                                                                                                    
                                                • Mustard seeds - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Cumin seeds - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Red chilies - 3 numbers.
                                            
                                                                                                                                    
                                                • Chana dal - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Urad dal - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Green chilies - 2 numbers.
                                            
                                                                                                                                    
                                                • Onion (chopped) - 1 number.
                                            
                                                                                                                                    
                                                • Ginger (chopped) - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Curry leaves - 1 spring.
                                            
                                                                                                                                    
                                                • Turmeric powder - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Tomato (chopped) - 2 numbers.
                                            
                                                                                                                                    
                                                • Salt -  to taste.
                                            
                                                                                                                                    
                                                • Coriander leaves - 1/2 bunch.","Take a bowl and add hot water, salt, oil, rice sev and keep aside for 5 minutes.
In a pan add oil, mustard seeds, cumin seeds, red chilies, chana dal, urad dal, green chilies and saute it well.
Now add onion, ginger, curry leaves, turmeric powder, tomato, salt, coriander leaves and cook it.
Remove Rice sev and strain it.
Add boiled rice sev into cooking pan and mix it well.

Serve it.


                                                
                                                    
                                        
                                    
                                    
                                                                                
                                        
                                        
                                        
                                        (adsbygoogle = window.adsbygoogle || []).push({});",latest-recipes
Crispy Fried Shrimp,15 mins,"Ingredients used in Crispy Fried Shrimp
                                            
                                                                                                                                    
                                                • Corn flour - 1 tablespoon.
                                            
                                                                                                                                    
                                                • Tiger shrimp - 10 piece.
                                            
                                                                                                                                    
                                                • Oil -  to fry.
                                            
                                                                                                                                    
                                                • Salt -  to taste.
                                            
                                                                                                                                    
                                                • Pepper powder - 1/2 tea spoon.
                                            
                                                                                                                                    
                                                • Coconut powder - 2 teaspoons.
                                            
                                                                                                                                    
                                                • Red chili powder - 1/2 tea spoon.
                                            
                                                                                                                                    
                                                • Turmeric powder - 1/4 cup.
                                            
                                                                                                                                    
                                                • Ginger garlic paste - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Vinegar - 1 tea spoon.","Peel the shell, wash and devein the shrimp, then Keep it aside
In a bowl add coconut powder, corn flour, pepper powder, red chili powder, turmeric powder, salt, ginger garlic paste, vinegar paprika and with a little amount of water, mix it.
Now add the shrimp to the mixture and mix it.
Heat oil in the pan for deep frying.
Fry the shrimp till it turns a brown color.

Enjoy the appetizer!


                                                
                                                    
                                        
                                    
                                    
                                                                                
                                        
                                        
                                        
                                        (adsbygoogle = window.adsbygoogle || []).push({});",latest-recipes
Potato Smiley,15 mins,"Ingredients used in POTATO SMILEY
                                            
                                                                                                                                    
                                                • Potato - 2 number.
                                            
                                                                                                                                    
                                                • White pepper powder - 1/2 tea spoon.
                                            
                                                                                                                                    
                                                • Mixed herbs - 3/4 tea spoon.
                                            
                                                                                                                                    
                                                • Salt -  to taste.
                                            
                                                                                                                                    
                                                • Corn flour - 1 tablespoon.
                                            
                                                                                                                                    
                                                • Parmesan cheese - 1 tablespoon.
                                            
                                                                                                                                    
                                                • Parmesan cheese - 1 tablespoon.
                                            
                                                                                                                                    
                                                • Oil -  to fry.","Boil potato, remove skin and grate it.
Take a bowl, add 1 cup grated potato, white pepper powder, mixed herbs(thyme, oregano, basil), salt and mix nicely.
Add corn flour and mix nicely, later add cheese and mix nicely.
Divide the dough into small dumplings and make small flat round using the hand.
Make two holes with straw and smile shape using spoon and arrange in a plate. Place it in the freezer for 15 to 20 minutes.
Once it is freezed, deep fry in hot oil on high flame until it is crispy.

Now potato smiley are ready to serve with tomato ketchup.


                                                
                                                    
                                        
                                    
                                    
                                                                                
                                        
                                        
                                        
                                        (adsbygoogle = window.adsbygoogle || []).push({});",latest-recipes
Chicken Ghee Roast,30 mins,"Ingredients used in Chicken Ghee Roast
                                            
                                                                                                                                    
                                                • Chicken - 500 grams.
                                            
                                                                                                                                    
                                                • Ghee - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Onions(chopped) - 1 number.
                                            
                                                                                                                                    
                                                • Ginger garlic paste - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Turmeric powder - 1/2 tea spoon.
                                            
                                                                                                                                    
                                                • Water -  as required.
                                            
                                                                                                                                    
                                                • Red chili powder - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Coriander leaves (chopped) - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Coriander powder - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Garam masala powder - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Cumin powder - 1/2 tea spoon.
                                            
                                                                                                                                    
                                                • Garlic - 5 clove.
                                            
                                                                                                                                    
                                                • Pepper - 1 tea spoon.","Crush garlic cloves and peppercorns and keep aside.
Heat ghee in a pan, add finely chopped onion, ginger garlic paste, turmeric powder and saute till raw flavor is gone.
Then put chicken pieces along with water and let it cook for about 30 minutes.
Season it with red chili powder, chopped coriander leaves, coriander powder, garam masala powder, cumin powder and cook it again for few more minutes.
Once oil oozes out of the gravy, add crushed garlic and pepper mixture and cook it again to desired consistency.



                                                
                                                    
                                        
                                    
                                    
                                                                                
                                        
                                        
                                        
                                        (adsbygoogle = window.adsbygoogle || []).push({});",latest-recipes
Fatta Fat Chutney - Lime Chilli Ginger Chutney,8 mins,"Ingredients used in FATTA FAT CHUTNEY - LIME CHILLI GINGER CHUTNEY
                                            
                                                                                                                                    
                                                • Lime - 5 numbers.
                                            
                                                                                                                                    
                                                • Green chilli - 4 numbers.
                                            
                                                                                                                                    
                                                • Ginger (small pieces) - 2 tablespoons.
                                            
                                                                                                                                    
                                                • Salt -  to taste.
                                            
                                                                                                                                    
                                                • Sugar - 1 tablespoon.
                                            
                                                                                                                                    
                                                • Mustard powder - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Turmeric powder - 1 pinch.
                                            
                                                                                                                                    
                                                • Asafoetida - 1/4 tea spoon.
                                            
                                                                                                                                    
                                                • Oil - 2 tablespoons.
                                            
                                                                                                                                    
                                                • Fenugreek seeds - 8 numbers.","Cut the lime into small pieces seedless and with the skin on. In a bowl add lime pieces, green
In a bowl add lime pieces, green chili pieces, ginger pieces, salt to taste, sugar, mustard powder mix it well.
For tempering: Heat oil in a pan add mustard seeds when mustard seeds splutter switch off the flame.
In this add fenugreek seeds, a pinch of turmeric powder, asafoetida.
Pour this tempering on the top of the chutney mix it well.



                                                
                                                    
                                        
                                    
                                    
                                                                                
                                        
                                        
                                        
                                        (adsbygoogle = window.adsbygoogle || []).push({});",latest-recipes
Eggplant Dal Version 1,35 mins,"Ingredients used in EGGPLANT DAL VERSION 1
                                            
                                                                                                                                    
                                                • Toor dal - 1/2 cup.
                                            
                                                                                                                                    
                                                • Chana dal - 1/2 cup.
                                            
                                                                                                                                    
                                                • Tomatoes - 2 numbers.
                                            
                                                                                                                                    
                                                • Green chilies - 3 numbers.
                                            
                                                                                                                                    
                                                • Mustard seeds - 1/2 tea spoon.
                                            
                                                                                                                                    
                                                • Cumin seeds - 1/2 tea spoon.
                                            
                                                                                                                                    
                                                • Garlic - 6-7 cloves.
                                            
                                                                                                                                    
                                                • Curry leaves - 2 springs.
                                            
                                                                                                                                    
                                                • Turmeric powder - 1 pinch.
                                            
                                                                                                                                    
                                                • Onion - 2 numbers.
                                            
                                                                                                                                    
                                                • Eggplant - 150 grams.
                                            
                                                                                                                                    
                                                • Amchur powder - 1/2 tea spoon.
                                            
                                                                                                                                    
                                                • Red chili powder - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Salt -  to taste.","In a pressure cooker put toor dal, chana dal, two tomatoes, green chili cook this till dals are tender.
Heat oil in a pan,add mustard seeds, cumin seeds when mustard and cumin seeds splutter add crushed whole garlic saute it.
Add curry leaves a pinch of turmeric powder, onion big pieces saute it for 2 minutes.
Add eggplant pieces, amchur powder, red chili powder, salt add required water mix it and cook it for 3 minutes in a slow flame with lid on.
Then add boiled dal mix it, once it comes to boil switch off the flame. Serve with rice.



                                                
                                                    
                                        
                                    
                                    
                                                                                
                                        
                                        
                                        
                                        (adsbygoogle = window.adsbygoogle || []).push({});",latest-recipes
Chicken Wings Peanut Sauce,35 mins,"Ingredients used in CHICKEN WINGS PEANUT SAUCE
                                            
                                                                                                                                    
                                                • Chicken wings  (skinless) - 500 grams.
                                            
                                                                                                                                    
                                                • Tomato ketchup - 1 tablespoon.
                                            
                                                                                                                                    
                                                • Pepper (crushed ) - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Chili flakes - 1/2 tea spoon.
                                            
                                                                                                                                    
                                                • Spring onions of white part (chopped) - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Garlic (chopped) - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Oil -  to fry.
                                            
                                                                                                                                    
                                                • Corn flour - 2 tablespoons.
                                            
                                                                                                                                    
                                                • All purpose flour - 2 tablespoons.
                                            
                                                                                                                                    
                                                • Peanut powder - 1/2 cup.
                                            
                                                                                                                                    
                                                • Salt -  to taste.
                                            
                                                                                                                                    
                                                • Vinegar - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Soya sauce - 1 tablespoon.
                                            
                                                                                                                                    
                                                • Honey - 1 tablespoon.
                                            
                                                                                                                                    
                                                • Egg (beaten) - 1/2 number.
                                            
                                                                                                                                    
                                                • Msg (optional) -  pinch.","In a bowl add skinless chicken wings, half an egg, MSG (optional), all-purpose flour, corn flour and mix it well to form a nice coating to chicken wings.
Heat oil in a pan, add coated chicken wings and deep fry them till they turn to golden in color. Keep aside.
Add oil to another pan and heat it, then add chopped garlic, chopped white part of spring onions, chili flakes, crushed pepper, salt, reduce the flame.
To it even add tomato ketchup, vinegar, soya sauce, peanut powder, honey, mix it well.
At last, add chicken wings and toss them, switch off the flame.

DeliciousChicken Wings Peanut Sauce is now ready to serve


                                                
                                                    
                                        
                                    
                                    
                                                                                
                                        
                                        
                                        
                                        (adsbygoogle = window.adsbygoogle || []).push({});",latest-recipes
Vegetable Juice With Vegetable Pulp Upma,35 mins,"Ingredients used in Vegetable Juice with Vegetable Pulp Upma
                                            
                                                                                                                                    
                                                • Red capsicum (cubes) - 1/2 number.
                                            
                                                                                                                                    
                                                • Carrot (cubes) - 1/2 number.
                                            
                                                                                                                                    
                                                • Cabbage (cubes) - 1/2 number.
                                            
                                                                                                                                    
                                                • Ginger (chopped) - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Onions(chopped) - 1 number.
                                            
                                                                                                                                    
                                                • Katta palak - 1 bunch.
                                            
                                                                                                                                    
                                                • Water -  as required.
                                            
                                                                                                                                    
                                                • Mustard seeds - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Cumin seeds - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Red chilies - 2 number.
                                            
                                                                                                                                    
                                                • Urad dal - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Cashew nuts - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Peanuts - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Asafeotida -  pinch.
                                            
                                                                                                                                    
                                                • Curry leaves - 1 spring.
                                            
                                                                                                                                    
                                                • Green chilies (chopped) - 3 number.
                                            
                                                                                                                                    
                                                • Semolina/wheat rava - 1 cup.
                                            
                                                                                                                                    
                                                • Water -  as required.
                                            
                                                                                                                                    
                                                • Lemon juice - 1 tea spoon.
                                            
                                                                                                                                    
                                                • Coriander leaves (freshly chopped) - 1 bunch.","Grind a mixture of chopped red capsicum, carrot, cabbage, ginger, tomato, onion, Kattapalak by adding 1 glass of water.
Now separate the pulp and juice in aseparate bowl and keep aside.
Heat oil in a pan, add mustard seeds, cumin seeds, red chilies, urad dal, cashew nuts, peanuts, asafoetida, curry leaves, green chilies, and saute it.
Then add semolina and fry for a minute.
After that add vegetablepulp along with water and let it cook for 10 more minutes.
At last, garnish lemon juice and chopped coriander leaves and serve it.



                                                
                                                    
                                        
                                    
                                    
                                                                                
                                        
                                        
                                        
                                        (adsbygoogle = window.adsbygoogle || []).push({});",latest-recipes
